iteration,iteration_test,failures,policy,miura,time
190,190 1 25 N D,1,0,0,7200
191,191 7 4 N E,1,0,0,7200
192,192 15 4 N P,1,0,0,7200
193,193 24 10 N O,0,2.535034861,5.132478807,87.77452603
194,194 19 11 N E,1,0,0,7200
195,195 23 10 N B,1,0,0,7200
196,196 24 22 N P,1,0,0,7200
197,197 8 11 N A,0,1.003954549,1.313291562,6.222060866
198,198 21 19 N O,1,0,0,7200
199,199 14 7 N E,1,0,0,7200
200,200 5 1 N C,1,0,0,7200
201,201 17 20 N P,1,0,0,7200
202,202 15 24 N E,0,1.510327329,9.779770724,373.9957203
203,203 21 5 N B,1,0,0,7200
204,204 17 11 N E,1,0,0,7200
205,205 8 7 N C,0,2.372358015,8.10480833,144.8970906
206,206 6 12 N P,1,0,0,7200
207,207 8 17 N E,0,3.836676889,3.157973711,86.37254741
208,208 10 20 N O,1,0,0,7200
209,209 1 24 N A,0,1.785359044,7.920781328,197.0892267
210,210 16 8 N O,0,2.647252834,1.919888535,14.86903964
211,211 8 6 N D,0,1.116213926,1.187354394,4.793392407
212,212 23 20 N P,1,0,0,7200
213,213 20 15 N O,0,1.765313673,7.691247654,81.07676945
214,214 22 6 N C,0,3.174760737,4.810736374,141.9465512
215,215 13 14 N E,0,3.599425351,2.653291717,86.06377337
216,216 15 17 N C,0,4.175214137,2.652997585,63.46873616
217,217 23 18 N D,1,0,0,7200
218,218 15 16 N O,1,0,0,7200
219,219 7 16 N C,0,2.496687984,7.341637814,143.6867554
220,220 21 13 N P,1,0,0,7200
221,221 24 13 N P,1,0,0,7200
222,222 15 23 N D,0,0.891312235,9.476089399,262.6699643
223,223 7 8 N O,1,0,0,7200
224,224 14 6 N P,1,0,0,7200
225,225 8 21 N D,1,0,0,7200
226,226 25 3 N E,1,0,0,7200
227,227 5 25 N A,0,1.741760238,8.035855029,200.9419491
228,228 15 21 N A,0,1.208961056,8.903691759,143.3154359
229,229 16 19 N A,0,1.316855707,8.780311696,115.4949236
230,230 8 21 N A,1,0,0,7200
231,231 12 1 N P,0,1.386750624,9.939728286,4565.762757
232,232 2 10 N D,1,0,0,7200
233,233 8 23 N C,1,0,0,7200
234,234 15 1 N D,1,0,0,7200
235,235 13 21 N O,1,0,0,7200
236,236 16 15 C O,0,1.295602504,8.784127454,111.7876526
237,237 18 4 N O,0,1.548048517,1.403115553,5.656508142
238,238 21 23 N D,0,1.288014985,9.983931641,4397.373574
239,239 20 13 N A,0,1.579750143,8.492333155,121.7016842
240,240 24 18 N C,0,4.029909181,2.556852811,89.89590478
241,241 19 7 N D,1,0,0,7200
242,242 25 19 N B,1,0,0,7200
243,243 16 16 N E,0,3.477741956,3.352086696,80.05717229
244,244 9 25 N E,0,1.629174326,9.551497491,333.2194167
245,245 22 21 N O,1,0,0,7200
246,246 20 9 N A,0,1.754961657,7.900510272,97.25960223
247,247 22 25 N D,1,0,0,7200
248,248 1 16 N D,1,0,0,7200
249,249 18 13 N A,0,1.208741964,9.792306354,2330.218341
