iteration_test,failures,policy,miura,time
58 58 56 N L,0,1.347123155,-9.991559924,228.2123735
59 30 52 N C,0,2.159506871,-7.495593477,197.9777561
60 33 27 N C,0,1.658555962,-9.882690495,195.079538
61 59 51 N T,0,1.494222453,-9.9142976,126.5341491
62 54 1 N P,0,1.410738101,-9.989562338,148.5091771
63 19 57 N P,0,1.627415849,-9.925104656,146.6700707
64 40 4 N O,0,1.610075916,-9.94615226,260.5806696
65 44 52 N O,0,3.042479136,-4.118345063,260.6035106
66 18 7 N C,0,1.534025662,-9.978222607,200.510035
67 35 7 N L,0,2.43968633,-6.116431299,232.7193284
68 12 43 N P,0,1.459298228,-9.978498914,145.2988812
69 32 29 N O,0,1.666358275,-9.807344002,259.363605
70 52 19 N C,0,1.61694739,-9.934862489,197.4199257
71 9 53 N T,0,1.431370559,-9.98948152,125.0682188
72 27 50 N L,0,1.643803992,-9.896707073,228.453255
73 56 50 N P,0,1.425960627,-9.988233044,146.341056
74 56 15 N T,0,2.386751344,-6.481275009,124.4788177
75 34 26 N D,0,2.106988969,-7.897860408,166.2611887
76 3 60 N P,0,1.554638335,-9.962631156,144.8452446
77 42 60 N D,0,1.631360462,-9.900091648,162.2439701
78 53 17 N P,0,1.62453956,-9.927848695,145.4707988
79 58 24 N L,0,1.638301369,-9.824227816,230.8703608
80 30 60 N O,0,1.661530836,-9.851907052,261.2277887
81 43 40 N T,0,2.253000384,-7.007761919,118.5710518
82 32 60 N P,0,1.658567384,-9.873908582,119.3718241
83 39 5 N C,0,1.609653357,-9.946405934,161.5638898
84 32 8 N L,0,2.258364049,-6.975138482,190.2717216
85 15 53 N C,0,2.984870102,-3.477200277,164.9388658
86 42 45 N T,0,2.014757441,-8.224597111,101.1827796
87 22 60 N D,0,1.740925742,-9.760350689,139.8078773
88 51 28 N L,0,1.74448004,-9.621051973,186.7227185
89 51 9 N D,0,1.471199651,-9.976905148,137.8023193
90 1 35 N D,0,3.008933037,-4.222155907,137.0028088
91 52 28 N C,0,1.540728001,-9.971427294,164.9636373
92 34 20 N C,0,1.64269449,-9.893909048,160.8093762
93 22 27 N C,0,1.636427502,-9.898611225,163.03655
94 26 60 N D,0,1.742626963,-9.553180563,137.4979537
95 36 58 N D,0,1.700646971,-9.705134356,138.3325408
96 55 27 N D,0,1.561821419,-9.915847765,139.9885097
97 36 37 N L,0,1.673343479,-9.757213498,191.5151314
98 11 48 N P,0,1.415283028,-9.988670219,116.6474498
99 3 60 N P,0,1.554638335,-9.962631156,121.8796985
100 9 2 N T,0,1.407805034,-9.990188647,101.7113773
101 4 11 N T,0,1.55494178,-9.972874451,104.4236181
102 46 58 N D,0,1.60059768,-9.936230586,138.3358736
103 39 46 N D,0,1.746449955,-9.462314541,138.7052912
104 33 57 N O,0,1.664979501,-9.83624215,215.8899091
105 14 53 N P,0,1.541801842,-9.976473068,121.130395
106 59 2 N L,0,3.165112,-2.631520567,189.0503711
107 20 35 N P,0,1.572673521,-9.916458585,118.7704885
108 18 50 N C,0,2.967221073,-3.495097846,160.972505
109 44 12 N L,0,2.867808132,-4.863544669,186.7063769
110 41 45 N D,0,1.733277685,-9.52110273,137.0548894
111 8 52 N C,0,2.508539156,-1.460967401,163.893281
112 2 9 N P,0,3.269812483,-3.343402586,121.3285736
113 50 11 N T,0,1.674855885,-9.807864826,103.3692894
114 23 58 N D,0,1.751258261,-9.743540652,139.163595
115 1 34 N T,0,1.557616465,-9.963277004,101.8991524
116 54 18 N D,0,1.627366436,-9.893977437,138.0194053
117 13 37 N L,0,1.448590638,-9.986357979,189.403225
118 17 3 N D,0,1.534776794,-9.94902446,135.2147271
119 58 8 N D,0,1.563755293,-9.966833348,138.061199
120 7 3 N T,0,1.437131973,-9.988149589,105.8522275
121 54 23 N L,0,1.806210548,-9.417642059,192.2356878
122 7 6 N D,0,1.368123,-9.986603561,137.1792511
123 59 60 N O,0,3.146737915,-2.819692556,214.3095393
124 11 46 N L,0,1.436667767,-9.985187117,190.1671021
125 46 46 N O,0,2.619092548,-5.348581065,215.9061972
126 17 31 N L,0,1.456504086,-9.980899291,191.6408638
127 10 2 N O,0,1.372694497,-9.991983327,209.2349701
128 42 12 N O,0,1.618342018,-9.919578569,215.9683565
129 17 1 N P,0,3.237231145,-3.645469133,121.6847627
130 23 25 N O,0,1.617412091,-9.921001355,172.722346
131 56 1 N P,0,1.460634309,-9.984826538,97.72875717
132 3 28 N D,0,3.155836195,-3.829323291,111.8539158
133 20 34 N P,0,1.572556866,-9.911992933,98.92344781
134 23 36 N O,0,1.625990819,-9.891736998,171.5210162
135 59 1 N P,0,1.495284593,-9.980089632,98.38874502
136 60 43 N D,0,1.540464569,-9.954143259,112.9221998
137 17 6 N P,0,3.216215939,-2.316051554,96.12150855
138 4 50 N O,0,1.350657489,-9.993389229,173.1892112
139 32 50 N T,0,1.724204605,-9.583968111,84.19736675
140 32 6 N O,0,1.632697887,-9.912735063,175.3432341
141 12 25 N O,0,1.489064344,-9.983468339,176.1459744
142 2 37 N T,0,1.564190858,-9.958153906,82.99771569
143 13 10 N T,0,1.499288535,-9.980860958,82.59348827
144 15 4 N P,0,3.217216035,-2.314646834,93.46165358
145 29 27 N L,0,1.696475866,-9.675609005,152.7359879
146 32 13 N P,0,2.029513692,-8.077546826,95.63237923
147 19 55 N L,0,1.616059237,-9.938718061,155.4813096
148 5 23 N C,0,1.582673256,-9.917175008,131.2916197
149 49 22 N O,0,1.617666564,-9.917140426,172.6066047
150 36 57 N D,0,1.705148298,-9.684065574,112.4178606
151 45 11 N O,0,1.589309139,-9.951332395,179.0820532
152 46 27 N T,0,2.714521775,-5.025409373,84.71985473
153 29 46 N P,0,1.647042845,-9.890302534,96.90445158
