iteration,iteration_test,failures,policy,miura,time
43,43 22 3 N O,0,2.424412187,6.297752869,311.1768565
44,44 24 19 N O,1,0,0,0
45,45 3 9 N D,1,0,0,0
46,46 21 17 N O,1,0,0,0
47,47 2 5 N E,0,2.075344893,8.810788829,608.8798037
48,48 20 2 N D,1,0,0,0
49,49 2 24 N P,1,0,0,0
50,50 17 2 N B,1,0,0,0
51,51 9 2 N O,0,1.925933699,9.181752316,514.3103623
52,52 2 6 N O,0,1.735882191,9.694877793,786.6843342
53,53 14 7 N O,0,2.211715426,7.808586107,216.6681192
54,54 8 15 N P,1,0,0,0
55,55 20 3 N B,1,0,0,0
56,56 7 3 N O,0,1.907534294,9.051489617,572.3543609
57,57 1 11 N D,1,0,0,0
58,58 13 5 N B,1,0,0,0
59,59 7 21 N P,0,1.750573475,2.109429126,22.02682532
60,60 8 13 N C,0,3.904654329,3.261325751,210.5581113
61,61 5 4 N B,1,0,0,0
62,62 4 19 N P,0,1.554380465,1.510370716,12.67625921
63,63 23 25 N B,1,0,0,0
64,64 15 25 N E,0,1.902895325,9.124449509,752.5083346
65,65 15 12 N D,0,1.932422417,8.529736948,238.2073859
66,66 18 24 N P,1,0,0,0
67,67 7 13 N E,0,3.328630331,5.163026129,291.3026558
68,68 11 8 N C,0,3.737828607,3.295336129,200.0284386
69,69 6 15 N D,0,2.356119003,6.616144524,234.1949925
70,70 7 12 N C,0,3.996057831,3.302462284,169.1180988
71,71 14 17 N E,0,4.891802753,1.867485296,79.15046108
72,72 3 19 N O,1,0,0,0
73,73 24 18 N B,1,0,0,0
74,74 1 5 N D,1,0,0,0
75,75 11 9 N E,0,2.89373432,7.11796803,281.7366975
76,76 17 17 N P,1,0,0,0
77,77 16 17 N C,0,3.930212285,2.440592049,93.70603313
78,78 3 3 N C,0,2.081795266,8.588601176,557.4632523
79,79 16 23 N P,1,0,0,0
80,80 15 7 N D,0,2.269252337,5.812221637,158.9771546
81,81 25 12 N E,0,1.517160242,9.97379577,9386.895782
82,82 1 10 N O,0,1.655408129,9.808134397,793.5864739
83,83 2 10 N B,1,0,0,0
84,84 10 19 N E,0,4.197772978,1.703962645,95.12021036
85,85 6 10 N E,0,2.535676001,7.840678561,449.5520635
86,86 12 3 N E,0,1.832342021,9.435916858,726.7860463
87,87 11 13 N C,0,4.065548911,2.309169001,113.9638758
88,88 11 19 N P,0,1.99923983,7.926748302,93.55730171
89,89 23 21 N B,1,0,0,0
90,90 14 4 N D,0,2.455897154,6.168958213,217.2853659
91,91 2 22 N D,1,0,0,0
92,92 10 18 N B,1,0,0,0
93,93 5 12 N D,0,2.60189566,3.821934279,144.6658894
94,94 8 5 N P,1,0,0,0
95,95 5 3 N C,0,2.06702219,8.58454945,683.2085709
96,96 4 1 N P,1,0,0,0
97,97 9 19 N B,1,0,0,0
98,98 15 11 N B,1,0,0,0
99,99 3 12 N P,1,0,0,0
100,100 3 25 N O,1,0,0,0
101,101 14 11 N C,0,4.230860557,1.292962222,74.89240461
102,102 7 12 N P,1,0,0,0
103,103 22 24 N B,1,0,0,0
104,104 12 20 N O,1,0,0,0
105,105 21 7 N C,0,3.544435099,4.961070304,245.5157461
106,106 13 11 N B,1,0,0,0
107,107 8 12 N D,0,2.257467855,6.649501764,164.8083497
108,108 14 12 N O,0,1.744303991,9.010001604,285.1343913
109,109 18 25 N D,1,0,0,0
110,110 6 2 N P,1,0,0,0
111,111 10 9 N O,0,1.8987372,8.553783611,231.0338233
112,112 19 25 N E,0,1.797455302,9.564763695,821.9505185
113,113 4 19 N C,1,0,0,0
114,114 9 9 N E,0,2.525529908,8.22387077,349.397965
115,115 25 14 N P,1,0,0,0
116,116 6 14 N O,0,1.460974072,9.961274118,1028.412817
117,117 17 24 N E,0,1.782462079,9.61856694,813.0202035
118,118 11 4 N D,0,2.529034304,4.316246579,172.3135665
119,119 18 16 N D,0,1.439719831,9.199132832,360.6190652
120,120 19 15 N B,0,1.576231332,7.454266914,200.2616752
121,121 17 7 N B,1,0,0,0
122,122 4 25 N D,1,0,0,0
123,123 10 8 N B,1,0,0,0
124,124 17 1 N B,1,0,0,0
125,125 21 22 N P,1,0,0,0
126,126 15 12 N C,0,3.461944583,0.879929221,42.02378551
127,127 20 24 N C,0,3.460657953,4.115116869,271.1507565
128,128 3 11 N B,1,0,0,0
129,129 4 20 N P,0,1.153609274,1.197368531,14.05495154
130,130 10 20 N C,1,0,0,0
131,131 10 25 N C,0,2.416928965,7.052667312,640.0087419
132,132 23 15 N P,1,0,0,0
133,133 9 5 N P,1,0,0,0
134,134 21 25 N B,1,0,0,0
135,135 21 7 N O,0,2.464943767,2.020563653,30.28154321
136,136 14 24 N E,0,1.849239466,9.295164745,719.695778
137,137 4 22 N B,1,0,0,0
138,138 14 8 N P,1,0,0,0
139,139 21 18 N B,0,1.466995084,1.606875055,12.24738009
140,140 8 17 N E,0,3.887294685,3.043143655,138.1974818
141,141 16 16 N P,1,0,0,0
142,142 2 1 N O,0,1.781557827,9.525845816,678.133675
143,143 19 12 N C,0,3.970001679,1.270777503,73.90049975
144,144 11 25 N O,1,0,0,0
145,145 14 6 N C,0,3.770241552,3.884051886,184.7255933
146,146 2 15 N C,0,2.845284389,6.347720383,347.1203052
147,147 17 22 N E,0,1.781881803,9.678611725,737.4018815
148,148 5 10 N D,0,2.914320049,2.883281835,87.22303122
149,149 13 14 N D,0,2.161054996,7.872805638,258.4884475
150,150 14 9 N C,0,3.991524343,2.475756621,160.966511
151,151 20 2 N E,0,1.641136781,9.905152264,984.5385881
152,152 1 23 N E,0,2.193825055,7.798836876,395.7147689
153,153 15 25 N C,0,2.798794117,5.762243964,382.622189
154,154 11 7 N D,0,2.553318873,3.223337566,68.49107947
155,155 5 15 N E,0,3.203828671,4.71379114,293.366455
156,156 21 17 N P,1,0,0,0
157,157 9 12 N P,1,0,0,7200
158,158 18 8 N C,0,3.525118937,5.216638172,184.1472627
159,159 19 23 N D,1,0,0,7200
160,160 24 16 N B,1,0,0,7200
161,161 1 12 N E,0,2.539859457,7.043252513,402.6930765
162,162 25 16 N C,0,4.117585253,2.273390828,123.1229733
163,163 4 23 N B,1,0,0,7200
164,164 1 22 N P,1,0,0,7200
165,165 19 10 N C,0,4.105827218,1.757131481,103.5379762
166,166 11 10 N P,1,0,0,7200
167,167 3 6 N P,1,0,0,7200
168,168 14 3 N O,0,2.166501417,8.420343876,336.3277534
169,169 21 8 N E,1,0,0,7200
170,170 25 7 N P,1,0,0,7200
171,171 4 11 N B,1,0,0,7200
172,172 21 1 N O,0,2.271119651,7.137823855,283.5697725
173,173 16 19 N B,0,2.009517539,4.696788289,68.77069217
174,174 7 24 N D,1,0,0,7200
175,175 21 16 N P,1,0,0,7200
176,176 4 24 N E,0,2.289966623,7.507635679,461.0496544
177,177 12 2 N E,0,1.767068532,9.630704267,918.0220228
178,178 7 14 N E,0,3.526095723,4.381082315,238.89126
179,179 15 9 N B,1,0,0,7200
180,180 18 10 N B,1,0,0,7200
181,181 5 13 N B,1,0,0,7200
182,182 21 9 N P,1,0,0,7200
183,183 13 21 N B,0,2.009771552,7.449222775,115.3126792
184,184 19 7 N P,0,1.150241811,9.996076099,8930.086311
185,185 1 19 N B,1,0,0,7200
186,186 11 15 N P,1,0,0,7200
187,187 17 12 N P,1,0,0,7200
188,188 9 10 N B,1,0,0,7200
189,189 3 23 N D,1,0,0,7200
190,190 1 4 N P,1,0,0,7200
191,191 2 13 N D,0,2.133572663,8.035748454,321.0471103
192,192 12 11 N P,1,0,0,7200
193,193 16 23 N B,0,2.117345952,7.675182382,50.0347198
194,194 5 20 P D,1,0,0,7200
195,195 19 18 N B,0,1.745748015,1.927075802,5.495452269
196,196 10 14 N E,0,3.872497531,3.414372599,98.81139035
197,197 10 12 N P,1,0,0,7200
198,198 7 8 N B,1,0,0,7200
199,199 9 24 N P,1,0,0,7200
200,200 18 22 N C,0,3.426880239,4.169863229,135.7829225
201,201 19 20 N P,1,0,0,7200
202,202 16 19 N C,0,3.819179251,3.420924294,84.6848776
203,203 9 2 N E,0,1.787455278,9.578814959,337.2482505
204,204 6 12 N E,0,2.980286481,6.363902254,151.8352293
205,205 11 22 N O,1,0,0,7200
206,206 5 10 N B,1,0,0,7200
207,207 19 24 N C,0,3.376587758,4.655123355,143.2674224
208,208 23 18 N E,1,0,0,7200
209,209 5 8 N P,1,0,0,7200
210,210 3 8 N E,0,2.271270129,8.031764756,205.6864753
211,211 10 22 N E,0,4.346747819,1.359069986,30.16195815
212,212 20 1 N P,1,0,0,7200
213,213 12 1 N D,1,0,0,7200
214,214 13 22 N E,0,2.50757941,0.464225349,2.640219838
215,215 25 17 N E,1,0,0,7200
216,216 6 16 N P,1,0,0,7200
217,217 19 16 N P,0,1.259446604,8.782089769,4236.467333
218,218 2 19 N B,1,0,0,7200
219,219 8 15 N P,1,0,0,7200
220,220 11 14 N E,0,3.858695293,3.166696893,75.52976789
221,221 5 14 N E,0,3.162259482,5.224847265,129.6021804
222,222 9 9 N C,0,3.542976415,4.093252565,88.73527009
223,223 3 5 N B,1,0,0,7200
224,224 18 13 N C,0,4.685022343,0.916865311,19.11638989
225,225 15 9 N E,1,0,0,7200
226,226 21 15 N B,1,0,0,7200
227,227 17 2 N E,0,1.685431287,9.816523068,492.1867577
228,228 5 9 N C,0,2.922914035,6.825180131,133.731945
229,229 18 9 N E,1,0,0,7200
230,230 22 3 N B,1,0,0,7200
231,231 3 15 N O,1,0,0,7200
232,232 10 8 N E,0,2.424377026,8.516825549,170.0145645
233,233 25 6 N P,1,0,0,7200
234,234 22 8 N B,1,0,0,7200
235,235 16 1 N C,0,2.40205195,8.150409559,246.3933278
236,236 18 9 N P,1,0,0,7200
237,237 22 2 N D,0,1.558422336,9.959741901,4190.714779
238,238 25 9 N E,1,0,0,7200
239,239 23 10 N O,0,2.492143548,5.31546355,51.62878516
240,240 9 21 N C,1,0,0,7200
241,241 6 22 N O,1,0,0,7200
242,242 10 16 N B,1,0,0,7200
243,243 5 10 N D,0,3.046879469,2.889834842,45.85521788
244,244 19 19 N P,1,0,0,7200
245,245 22 3 N P,1,0,0,7200
246,246 8 18 N D,1,0,0,7200
247,247 25 8 N D,1,0,0,7200
248,248 10 24 N D,1,0,0,7200
249 23 21 N C,0,4.35083608,3.018315696,102.694565,
