iteration,iteration_test,failures,policy,miura,time
90,90 1 19 N O,1,0,0,0
91,91 8 18 N O,1,0,0,0
92,92 20 6 N B,1,0,0,0
93,93 14 2 N O,0,2.45789184,8.536247617,400.9270799
94,94 10 10 N D,0,2.948116694,3.589342356,74.73484558
95,95 2 5 N O,0,2.103114375,9.561711904,633.3736094
96,96 12 9 N P,0,1.599703618,9.854467762,585.1762276
97,97 3 2 N D,1,0,0,0
98,98 22 2 N O,0,2.811334453,7.172902341,203.3650132
99,99 12 8 N O,0,2.281978519,8.143439417,268.3732162
100,100 5 5 N P,1,0,0,0
101,101 18 8 N B,1,0,0,0
102,102 1 11 N P,1,0,0,0
103,103 4 12 N B,1,0,0,0
104,104 8 15 N P,0,2.606245103,7.077559498,248.8553408
105,105 20 21 N B,0,1.749951284,1.315781005,11.22482089
106,106 17 24 N P,1,0,0,0
107,107 6 22 N O,1,0,0,0
108,108 2 6 N C,0,2.666281158,7.547136739,505.399355
109,109 6 7 N D,0,1.824321218,1.216848306,11.97518682
110,110 18 14 N P,1,0,0,0
111,111 23 6 N C,0,3.910956025,5.360897172,296.7431532
112,112 9 4 N C,1,0,0,0
113,113 19 22 N O,1,0,0,0
114,114 19 13 N C,0,4.264827661,1.033851786,44.65953656
115,115 23 18 N O,1,0,0,0
116,116 24 17 N P,1,0,0,0
117,117 14 25 N O,1,0,0,0
118,118 3 10 N P,1,0,0,0
119,119 23 1 N C,0,3.021051506,7.560688243,458.1366006
120,120 17 3 N O,0,2.590380544,7.691045186,343.4142561
121,121 8 15 N P,0,2.711886636,6.734376254,226.4041393
122,122 3 16 N C,0,3.374903372,5.362735697,471.3519123
123,123 10 5 N C,0,3.724451646,5.420795851,304.2337471
124,124 1 3 N O,0,2.105496377,9.560702611,709.3643636
125,125 24 1 N P,1,0,0,0
126,126 17 22 N P,1,0,0,0
127,127 2 20 N D,1,0,0,0
128,128 25 22 N O,1,0,0,0
129,129 2 2 N P,1,0,0,0
130,130 16 19 N C,0,4.528565896,2.599342157,114.7134053
131,131 13 4 N C,0,4.102288338,3.848757768,213.4104899
132,132 16 11 N P,0,1.888810447,9.254824715,322.1065239
133,133 21 25 N D,1,0,0,0
134,134 15 3 N O,0,2.490716129,8.42628626,325.5038915
135,135 10 3 N O,0,2.340863435,8.814621896,483.6174816
136,136 13 10 N D,0,2.634789944,5.806114482,115.2151846
137,137 25 15 N C,0,4.741338359,2.124008729,158.8030921
138,138 14 18 N B,0,2.600691029,4.351929146,87.7507813
139,139 21 24 N D,1,0,0,0
140,140 4 10 N B,1,0,0,0
141,141 12 14 N B,0,2.531350911,8.769856762,184.5320547
142,142 5 2 N O,0,2.1992465,9.320697071,566.8995585
143,143 24 8 N P,1,0,0,0
144,144 13 16 N P,0,2.833969746,6.055793546,164.2964514
145,145 23 23 N D,1,0,0,7200
146,146 17 1 N O,0,2.452908636,8.554024553,331.1780163
147,147 8 11 N C,0,4.425080032,2.806993692,225.9018594
148,148 15 8 N P,1,0,0,7200
149,149 15 24 N O,1,0,0,7200
150,150 13 23 N B,0,2.701207676,4.932124848,148.1720062
151,151 5 12 N D,0,3.169249668,3.954064795,136.7858423
152,152 3 19 N P,1,0,0,7200
153,153 14 3 N C,0,2.976557801,7.732078816,499.9413787
154,154 3 11 N D,1,0,0,7200
155,155 15 16 N B,0,2.453823697,4.897041385,126.6138877
156,156 22 4 N D,1,0,0,7200
157,157 12 19 N B,0,2.481883832,6.153834219,145.7588053
158,158 24 2 N C,0,3.300816936,6.350105465,434.2877472
159,159 11 13 N D,0,2.603929621,6.386835993,138.8343627
160,160 20 7 N O,0,2.093971344,1.61959804,21.47227617
161,161 12 13 N P,0,2.792151997,6.950830714,194.9862092
162,162 7 21 N D,1,0,0,7200
163,163 8 25 N C,0,2.609621546,7.406837613,525.8911985
164,164 8 9 N O,0,1.939687019,9.098988874,261.3594436
165,165 14 10 N B,1,0,0,7200
166,166 14 14 N B,0,1.745502817,8.647129277,304.7375351
167,167 14 19 N C,0,4.21142261,3.182750362,278.5421742
168,168 6 7 N B,1,0,0,7200
169,169 5 15 N O,1,0,0,7200
170,170 23 21 N B,1,0,0,7200
171,171 13 10 N O,0,2.348034068,8.366149443,225.0491354
172,172 9 12 N B,1,0,0,7200
173,173 14 2 N C,0,2.727575223,8.26252204,465.5440912
174,174 24 9 N B,1,0,0,7200
175,175 6 12 N O,1,0,0,7200
176,176 23 14 N B,1,0,0,7200
177,177 9 24 N O,1,0,0,7200
178,178 10 25 N B,1,0,0,7200
179,179 17 18 N O,1,0,0,7200
180,180 20 8 N P,1,0,0,7200
181,181 7 5 N C,0,2.923145919,8.258943694,326.1299343
182,182 20 24 N C,0,3.94119193,4.086743139,298.5562961
183,183 19 17 N O,1,0,0,7200
184,184 12 4 N P,1,0,0,7200
185,185 21 23 N B,1,0,0,7200
186,186 18 24 N P,1,0,0,7200
187,187 25 25 N P,1,0,0,7200
188,188 15 9 N O,0,2.578824565,6.190255968,161.8017328
189,189 3 12 N D,1,0,0,7200
190,190 14 21 N P,0,2.941871393,4.082115461,121.9581176
191,191 22 9 N B,1,0,0,7200
192,192 3 3 N O,0,2.151766081,9.463115292,466.5597568
193,193 23 16 N C,0,5.004764334,1.522642935,65.48698176
194,194 5 4 N D,0,2.50235112,1.601737793,23.9115394
195,195 8 23 N D,1,0,0,7200
196,196 5 6 N B,1,0,0,7200
197,197 17 14 N P,1,0,0,7200
198,198 24 9 N P,1,0,0,7200
199,199 11 4 N C,0,3.800471893,4.590718635,218.853584
200,200 8 1 N P,1,0,0,7200
201,201 11 4 N D,0,2.962748104,4.034915434,92.04961213
202,202 10 17 N B,1,0,0,7200
203,203 13 1 N D,1,0,0,7200
204,204 3 10 N B,1,0,0,7200
205,205 11 16 N B,0,2.393206812,6.665188102,168.793978
206,206 18 25 N D,1,0,0,7200
207,207 11 2 N D,1,0,0,7200
208,208 24 7 N B,1,0,0,7200
209,209 3 17 N D,1,0,0,7200
210,210 13 15 N B,0,2.525511221,7.637613095,132.0616655
211,211 17 7 N D,1,0,0,7200
212,212 18 3 N C,0,3.088828408,7.630290421,347.0777799
213,213 10 6 N B,1,0,0,7200
214,214 6 19 N B,0,2.06451307,8.686953686,322.7314386
215,215 3 4 N P,1,0,0,7200
216,216 9 15 N P,0,2.589157002,6.594754804,185.0427772
217,217 24 8 N O,0,2.735544616,5.277378562,120.8192983
218,218 19 21 N B,0,2.094056144,1.551115476,16.94327692
219,219 24 12 N B,1,0,0,7200
220,220 6 9 N B,1,0,0,7200
221,221 23 9 N O,0,3.186698719,3.864385073,40.98520974
222,222 12 11 N O,0,2.009177076,8.631261577,144.3715262
223,223 15 21 N O,1,0,0,7200
224,224 19 13 N O,0,2.384663672,6.833289652,70.13003996
225,225 13 16 N B,0,2.4903726,6.844228243,74.01547147
226,226 16 8 N O,0,3.16674534,1.744335547,17.54393758
227,227 10 15 N D,0,2.447944681,7.015589357,110.1764542
228,228 15 3 N B,1,0,0,7200
229,229 23 1 N B,1,0,0,7200
230,230 11 15 N B,0,2.542500189,7.346112115,84.29848459
231,231 1 4 N B,1,0,0,7200
232,232 20 25 N P,1,0,0,7200
233,233 10 21 N D,1,0,0,7200
234,234 7 12 N P,0,2.312312817,7.965250328,138.6928575
235,235 20 2 N O,0,2.739287675,7.035224118,135.1728795
236,236 24 7 N D,1,0,0,7200
237,237 20 6 N C,0,3.955818076,5.346480803,89.81331897
238,238 24 14 N P,0,1.469031498,9.984927845,4131.606503
239,239 11 15 N D,0,2.514785224,8.250972188,105.4337928
240,240 2 6 N B,1,0,0,7200
241,241 2 8 N C,0,2.942432689,6.653870654,243.8954691
242,242 13 23 N D,1,0,0,7200
243,243 1 9 N D,1,0,0,7200
244,244 14 9 N O,0,2.639259344,6.79330708,83.86568774
245,245 5 16 N D,0,2.555843346,7.786376858,133.3124943
246,246 11 7 N P,1,0,0,7200
247,247 21 15 N C,0,4.412448221,0.961949328,24.36353763
248,248 6 21 N B,0,2.294250228,8.194772491,133.3249108
249 5 21 N D,1,0,0,7200,
